Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
Female,1,No,No,8,Yes,DSL,20.4,227.06,No
Male,0,No,No,40,Yes,Fiber optic,70.7,2924.43,Yes
Male,0,No,No,62,No,Fiber optic,69.44,4314.12,Yes
Male,1,No,Yes,27,Yes,DSL,33.9,933.71,Yes
Male,1,Yes,No,22,Yes,No,46.5,1085.51,Yes
Male,0,Yes,No,6,Yes,Fiber optic,34.92,224.11,No
Female,1,No,Yes,12,Yes,Fiber optic,73.07,894.74,Yes
Male,0,No,No,42,Yes,DSL,103.0,4375.15,No
Female,0,Yes,No,1,Yes,DSL,26.4,74.31,Yes
Male,1,No,Yes,34,No,DSL,37.84,1302.74,Yes
Male,1,Yes,No,35,Yes,DSL,47.78,1738.08,Yes
Female,1,No,Yes,8,Yes,DSL,48.26,444.33,Yes
Male,0,Yes,Yes,58,No,Fiber optic,49.88,2962.21,No
Female,0,Yes,No,71,Yes,Fiber optic,116.27,8311.69,Yes
Female,0,No,No,29,No,Fiber optic,68.73,2033.66,No
Female,0,Yes,No,61,No,DSL,94.41,5806.14,Yes
Female,0,Yes,No,56,No,No,24.86,1416.51,No
Female,1,No,Yes,14,Yes,No,95.37,1406.57,Yes
Female,0,Yes,No,12,No,Fiber optic,44.38,605.11,No
Male,0,No,Yes,29,No,DSL,75.94,2267.45,Yes
Male,1,Yes,Yes,22,No,DSL,23.08,552.35,No
Female,0,Yes,Yes,28,Yes,No,67.11,1936.44,No
Female,1,Yes,Yes,62,Yes,Fiber optic,99.51,6206.47,No
Male,1,No,No,23,No,No,81.06,1934.86,No
Female,0,Yes,Yes,18,Yes,DSL,82.94,1572.84,Yes
Female,1,Yes,Yes,27,No,No,45.34,1307.29,Yes
Male,1,No,Yes,15,No,DSL,27.75,417.24,Yes
Female,0,Yes,No,65,Yes,DSL,54.11,3541.17,Yes
Female,0,Yes,Yes,11,No,DSL,47.22,551.57,Yes
Male,1,No,No,63,Yes,DSL,117.15,7465.23,No
Male,0,Yes,No,66,No,DSL,64.72,4361.45,Yes
Male,1,Yes,No,52,No,Fiber optic,28.27,1567.39,No
Male,0,Yes,Yes,55,No,No,109.1,6075.81,Yes
Female,1,Yes,No,72,No,No,81.02,5852.2,Yes
Male,1,No,No,49,No,DSL,32.77,1680.65,Yes
Male,0,Yes,No,53,No,DSL,66.81,3584.44,No
Female,0,No,Yes,45,Yes,DSL,113.78,5137.42,Yes
Female,1,No,Yes,41,No,Fiber optic,68.36,2849.77,No
Male,1,No,No,36,No,DSL,49.12,1865.2,No
Female,0,Yes,No,26,No,Fiber optic,65.31,1758.62,No
Female,1,Yes,No,15,No,DSL,78.61,1256.25,Yes
Male,1,Yes,No,64,No,Fiber optic,49.72,3214.38,No
Female,1,Yes,No,10,Yes,No,39.72,459.92,No
Female,0,No,No,10,No,Fiber optic,55.65,601.08,No
Male,1,Yes,No,36,No,DSL,40.65,1509.79,No
Female,0,Yes,No,62,Yes,Fiber optic,44.65,2855.92,No
Female,1,No,No,53,No,DSL,62.71,3350.14,Yes
Male,0,No,No,29,No,DSL,28.18,915.28,No
Male,1,Yes,No,13,No,DSL,44.88,599.09,No
Female,0,No,No,44,No,Fiber optic,106.78,4700.34,Yes
Female,1,Yes,No,58,No,DSL,41.5,2454.1,No
Female,0,Yes,Yes,51,No,Fiber optic,118.71,6137.52,Yes
Female,1,Yes,No,16,No,Fiber optic,39.85,706.6,No
Female,0,Yes,No,14,Yes,No,56.71,843.58,No
Male,1,No,Yes,60,No,No,110.78,6690.04,No
Male,1,Yes,No,17,Yes,No,46.8,862.09,No
Male,0,Yes,No,35,Yes,No,97.0,3473.2,No
Male,1,No,No,37,Yes,Fiber optic,72.36,2702.3,No
Female,1,No,Yes,12,No,No,56.24,692.3,Yes
Male,1,No,No,4,Yes,DSL,54.64,230.28,No
Female,1,No,No,38,Yes,DSL,53.83,2119.96,Yes
Male,0,Yes,Yes,5,No,No,45.41,255.44,No
Male,0,Yes,Yes,72,No,No,73.39,5376.84,No
Female,0,Yes,No,33,No,DSL,59.7,1994.14,No
Male,1,No,No,57,Yes,Fiber optic,65.14,3713.37,No
Male,0,No,Yes,51,Yes,DSL,109.99,5690.45,Yes
Female,0,Yes,No,7,Yes,DSL,101.75,719.9,Yes
Male,1,No,No,4,Yes,No,91.63,464.32,Yes
